Train Set,Test Set,Target,RMSE
both,both,%toc,2.224395645075287
both,both,mbt,0.07868270450998129
both,lvid,%toc,3.2403599377314736
both,lvid,mbt,0.08371314888027129
both,svid,%toc,1.054751749126037
both,svid,mbt,0.06991423886846662
lvid,both,%toc,2.553973464782933
lvid,both,mbt,0.10978043902944076
lvid,lvid,%toc,2.551485660331429
lvid,lvid,mbt,0.06031669640275308
lvid,svid,%toc,3.3543081166545825
lvid,svid,mbt,0.11143739420242663
svid,both,%toc,2.862714278701533
svid,both,mbt,0.08628996584038905
svid,lvid,%toc,3.9969119484039624
svid,lvid,mbt,0.07322644267498488
svid,svid,%toc,1.013636264147591
svid,svid,mbt,0.06328761641723155
